76,mujhe secure aur fast payment app chahiye lekin login simple hona chahiye,mixed,synthetic,success
77,app scalable ho par logon ko uljhan na ho use karne me,mixed,synthetic,success
78,database solid ho aur log bore na ho app mein,mixed,synthetic,success
79,urgency wali app chahiye jisme payment secure ho,mixed,synthetic,success
80,logon ko trust aaye aur app 10 lakh traffic sambhal le,mixed,synthetic,success
81,scalable architecture ho jisme data chori hone ka dar na ho,mixed,synthetic,success
82,fast app ho par privacy ekdum premium honi chahiye,mixed,synthetic,success
83,payment portal banana hai par log dhoke se darte hain,mixed,synthetic,success
84,app jaldi open ho aur mazza aaye chalane me,mixed,synthetic,success
85,"ekdum simple UI ho taaki confuse na ho, par backend heavy ho",mixed,synthetic,success
86,database scalable chahiye aur app ekdum fun honi chahiye,mixed,synthetic,success
87,mera data private rahe aur scaling apne aap ho,mixed,synthetic,success
88,log pareshan na ho par security 2FA wali ho,mixed,synthetic,success
89,kuch bhi ho app secure honi chahiye fraud ke against,mixed,synthetic,success
90,aisa backend banao jo fraud roke aur jaldi chale,mixed,synthetic,success
91,khush hokar log use karein aur load balancer handle kare,mixed,synthetic,success
92,impatient users ke liye fast scalable app,mixed,synthetic,success
93,log scam se bachen aur backend AWS pe ho,mixed,synthetic,success
94,fun app jisme lakhon traffic aaye,mixed,synthetic,success
id,input,category,source,expected_result
95,confusion na ho isliye guided onboarding do,mixed,synthetic,success
96,urgency ke liye guest login ho aur system fast ho,mixed,synthetic,success
97,trust build ho aur microservices use karein,mixed,synthetic,success
98,privacy toggle do aur backend scalable ho,mixed,synthetic,success
99,log uljhan mein na padein aur payment secure ho,mixed,synthetic,success
100,ekdum private network jisme traffic sambhalne ki takat ho,mixed,synthetic,success
101,Mujhe chat nahi chahiye,negation,synthetic,success
102,Mujhe database nahi chahiye,negation,synthetic,success
103,Fast app chahiye lekin chat nahi chahiye,negation,synthetic,success
104,I want a website without history,negation,synthetic,success
105,Traffic sambhalna hai but live mat lagana,negation,synthetic,success
106,database remove kar do,negation,synthetic,success
107,chat exclude karna hai,negation,synthetic,success
108,mujhe viral app chahiye without data save,negation,synthetic,success
109,aisa app banao jisme live na ho,negation,synthetic,success
110,fast chahiye lekin data record nahi chahiye,negation,synthetic,success
111,viral app banao without chat,negation,synthetic,success
112,mujhe chat mat dena,negation,synthetic,success
113,app without offline support,negation,synthetic,success
114,don't include database,negation,synthetic,success
115,do not add chat,negation,synthetic,success
116,mujhe fast chahiye lekin offline nahi chahiye,negation,synthetic,success
117,no chat needed but want high speed,negation,synthetic,success
118,exclude history from the requirements,negation,synthetic,success
119,mujhe fast system bana do chat mat rakhna,negation,synthetic,success
120,remove database entirely,negation,synthetic,success
